"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "JavaScript JSX", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"d:\Kaisen 2023\kaisen2023\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Kaisen 2023\kaisen2023\src\components\PurchasedEventItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"d:\Kaisen 2023\kaisen2023\src\context\KaizenContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Kaisen 2023\kaisen2023\src\firebase.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Kaisen 2023\kaisen2023\src\hooks\useAuthStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\Kaisen 2023\kaisen2023\src\hooks\useScrollToTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Kaisen 2023\kaisen2023\src\hooks\useWindowDimensions.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\Kaisen 2023\kaisen2023\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 27, 3, 46
"d:\Kaisen 2023\kaisen2023\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Kaisen 2023\kaisen2023\src\pages\CAPortal\CAPortal.jsx", "JavaScript JSX", 0, 0, 0, 0, 250, 0, 0, 0, 4, 32, 286
"d:\Kaisen 2023\kaisen2023\src\pages\CAPortal\CAStyles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 253, 1, 39, 293
"d:\Kaisen 2023\kaisen2023\src\pages\Cart\CartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 2, 18, 135
"d:\Kaisen 2023\kaisen2023\src\pages\Cart\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 6, 17, 141
"d:\Kaisen 2023\kaisen2023\src\pages\Cart\CartPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 150, 0, 24, 174
"d:\Kaisen 2023\kaisen2023\src\pages\CompleteProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 4, 12, 139
"d:\Kaisen 2023\kaisen2023\src\pages\Error.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Kaisen 2023\kaisen2023\src\pages\EventPage\Event.css", "CSS", 0, 0, 0, 0, 0, 0, 335, 0, 0, 52, 387
"d:\Kaisen 2023\kaisen2023\src\pages\EventPage\EventDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 3, 12, 130
"d:\Kaisen 2023\kaisen2023\src\pages\EventPage\EventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 4, 15, 119
"d:\Kaisen 2023\kaisen2023\src\pages\EventPage\RegisterPopup.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 3, 18, 177
"d:\Kaisen 2023\kaisen2023\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 13, 75
"d:\Kaisen 2023\kaisen2023\src\pages\GetPasses\GetPass.jsx", "JavaScript JSX", 0, 0, 0, 0, 386, 0, 0, 0, 16, 37, 439
"d:\Kaisen 2023\kaisen2023\src\pages\GetPasses\Pass.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 2, 14, 121
"d:\Kaisen 2023\kaisen2023\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 2, 3, 33
"d:\Kaisen 2023\kaisen2023\src\pages\Legals\CnC.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"d:\Kaisen 2023\kaisen2023\src\pages\Legals\Legals.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 14, 94
"d:\Kaisen 2023\kaisen2023\src\pages\Legals\Legals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 44, 0, 7, 51
